"Colaborador","Roles","Sexo.x","PaisOrigen.x","Nacimiento.x","Muerte.x","NombreR","Titulo","Fecha.ISO","Tipo","CantidadPaginas","Traduccion","Traductor"
"Nervo, Amado","Creador","M","México","1870","1919","La Revista","YO NO TE DIGO","1925-04-09","Poesía",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Lago de Itagüí","1925-04-09","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","EL VIAJE DEL PRINCIPE…...","1925-04-09","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Imagen",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.1,"No",NA
"Ferrero, Guglielmo","Creador","M","Italia","1871","1942","La Revista","UN INTERROGANTE NECESARIO: ¿QUE QUEREMOS?","1925-04-09","Prosa No Ficción",1.4,"Sí","Anónimo"
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Imagen",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Pequeños leñadores","1925-04-09","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","La danza de las horas","1925-04-09","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","EL REY SE SIENTE MAL","1925-04-09","Prosa No Ficción",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ROMA SERA SIEMPRE LA ""CIUDAD ETERNA""","1925-04-09","Prosa No Ficción",0.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.2,"No",NA
"Papini, Giovanni","Creador","M","Italia","1881","1956","La Revista","EL PADRE NUESTRO DE PAPINI","1925-04-09","Prosa Ficción",0.7,"Sí","Revollo del Castillo, Enrique"
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","EL SEÑOR DE LOS MILAGROS","1925-04-09","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.2,"No",NA
"Tagore, Rabindranath","Creador","M","India","1861","1941","La Revista","EL ASTRONOMO","1925-04-09","Prosa Ficción",0.3,"Sí","Anónimo"
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ANDRES CHAVES EN ""UNA MUJER SIN IMPORTANCIA""","1925-04-09","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-09","Publicidad",1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","S. M. la Reina de los Estudiantes de Rionegro y su Corte de Honor","1925-04-16","Imagen",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","""El suelo de Colombia es estéril para la simiente de la ","1925-04-16","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.6,"No",NA
"Sánchez Montenegro, Víctor","Creador","M","Colombia","1902 (sof.1903)","","La Revista","LEOPOLDO DE LA ROSA","1925-04-16","Prosa No Ficción",0.4,"No",NA
"Rosa, Leopoldo de la","Creador","M","Colombia","1888","1964","La Revista","NIÑOS","1925-04-16","Prosa Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","DE ROSARIO SANSORES","1925-04-16","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Sansores y Pren, Rosario","Creador","F","México","1889","1972","La Revista","MI ORACIÓN AL AZAR","1925-04-16","Poesía",0.2,"No",NA
"Sansores y Pren, Rosario","Creador","F","México","1889","1972","La Revista","PORQUE LA VIDA ES CORTA….","1925-04-16","Poesía",0.2,"No",NA
"Sansores y Pren, Rosario","Creador","F","México","1889","1972","La Revista","NOVIA","1925-04-16","Poesía",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","La danza de las horas","1925-04-16","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.3,"No",NA
"Ramírez Ángel, Emiliano","Creador","M","España","1883","1928","La Revista","EL LIMPIABOTAS","1925-04-16","Prosa No Ficción",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ESTE MUNDO EN QUE VIVIMOS","1925-04-16","Prosa No Ficción",0.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","ENTIERRO DE UN BANDIDO","1925-04-16","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Pineda López, Jorge","Creador",NA,NA,NA,NA,"La Revista","DEBEMOS SER FUERTES","1925-04-16","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","EL PIROPO EN EL TEATRO ESPAÑOL","1925-04-16","Prosa No Ficción",0.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.2,"No",NA
"Jaramillo Madariaga, G.","Creador",NA,NA,NA,NA,"La Revista","INSTANTANEAS DE MEXICO - EL PUERTO DE VERACRUZ","1925-04-16","Prosa No Ficción",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LO LLAMAN ""EL PRIMER AMOR DE RUSIA""","1925-04-16","Prosa No Ficción",0.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Pushkin","1925-04-16","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","EL DRAMA DE LA PASIÓN Y MU ERTE DE N.S..J.C.","1925-04-16","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Gómez Martínez, Fernando","Creador","M","Colombia","1897","1985","La Revista","EL CRISTO DE ANTIOQUIA","1925-04-16","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Imagen",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.1,"No",NA
"Godoy Alcayaga, Lucila","Creador",NA,NA,NA,NA,"La Revista","AUTOBIOGRAFIA","1925-04-16","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ESBELTA PERO….","1925-04-16","Prosa No Ficción",0.4,"No",NA
"Vergel, Leopoldo","Creador",NA,NA,NA,NA,"La Revista","RETAZOS","1925-04-16","Poesía",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Srta. María Jaramillo V.","1925-04-16","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-16","Publicidad",1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Imagen",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",1,"No",NA
"Ortiz Echague, Fernando","Creador","M","España","1892","1946","La Revista","REIMS, ANTES Y POST GUERRA","1925-04-30","Prosa No Ficción",0.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","EL MARISCAL VON HINDENBURG","1925-04-30","Imagen",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LOS LECTORES DE ""LA REVISTA"" QUEDARAN ENCANTADOS","1925-04-30","Publicidad",0.1,"No",NA
"Twain, Mark","Creador","M","Estados Unidos","1835","1910","La Revista","LA CELEBRE RANA SALTADORA","1925-04-30","Prosa Ficción",1.6,"Sí","Anónimo"
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","MARK TWAIN","1925-04-30","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","La danza de las horas","1925-04-30","Prosa No Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Imagen",0.4,"No",NA
"Márquez Liévano, Ernestina","Creador",NA,NA,NA,NA,"La Revista","CUENTOS DE LA SIERRA","1925-04-30","Prosa Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","SANTIAGO VELEZ E.","1925-04-30","Prosa No Ficción",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Otro Túnel en el Ferrocarril al Cauca","1925-04-30","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LO ASESINAN CON BACTERIA DE FIEBRE TIFOIDEA","1925-04-30","Prosa No Ficción",1.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Imagen",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","EL DR. FAIMAN","1925-04-30","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ENRIQUE GONZALEZ MARTINEZ","1925-04-30","Prosa No Ficción",0.3,"No",NA
"González Martínez, Enrique","Creador","M","México​","1871","1952","La Revista","LA PESCA MILAGROSA","1925-04-30","Poesía",0.2,"No",NA
"González Martínez, Enrique","Creador","M","México​","1871","1952","La Revista","Balada de la loca Fortuna","1925-04-30","Poesía",0.2,"No",NA
"Vélez Escobar, Santiago","Creador","M","Colombia","1900","1955","La Revista","CHARADA","1925-04-30","Prosa No Ficción",0.3,"No",NA
"López Gómez, Adel","Creador","M","Colombia","1900","1989","La Revista","CANTO DE AÑORANZA","1925-04-30","Poesía",0.4,"No",NA
"Obregón Botero, Gabriel","Creador","M","Colombia","1903","1983","La Revista","YO LA VIDE…...","1925-04-30","Poesía",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.2,"No",NA
"Jaramillo Madariaga, G.","Creador",NA,NA,NA,NA,"La Revista","INSTANTANEAS DE MEXICO - LA ESCUELA NACIONAL DE AGRICULTURA","1925-04-30","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.4,"No",NA
"Martínez Sierra, Gregorio","Creador","M","España","1881","1947","La Revista","HAY QUE ESPERAR EL AMOR CON TODA REVERENCIA","1925-04-30","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LA ESCUELA DE AGRICULTURA","1925-04-30","Prosa No Ficción",0.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","UNA NUEVA LIGA DE NACIONES","1925-04-30","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","EL MAS ATREVIDO VIAJE EN AUTOMOVIL","1925-04-30","Prosa No Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-04-30","Publicidad",1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Imagen",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LA VIA DEL SUR","1925-05-07","Prosa No Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","OTRA INDUSTRIA COLOMBIANA QUE TRIUNFA","1925-05-07","Prosa No Ficción",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Imagen",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","UNA VIDA Y UN MADRIGAL","1925-05-07","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","HAY ENTUSIASMO POR EL CLUB CAMPESTRE","1925-05-07","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Imagen",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","TODO EL MUNDO JUEGA","1925-05-07","Prosa No Ficción",0.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Mientras las ruletas giren","1925-05-07","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","REAPARECE EL ESCANDALO MAYUSCULO","1925-05-07","Prosa No Ficción",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","UN MONUMENTO AL BURRO","1925-05-07","Prosa No Ficción",0.1,"No",NA
"Vélez Escobar, Santiago","Creador","M","Colombia","1900","1955","La Revista","CHARADA","1925-05-07","Poesía",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.3,"No",NA
"Tarleau, Lisa Ysaye","Creador","F","Estados Unidos","1878","1952","La Revista","Loutré","1925-05-07","Prosa Ficción",1.7,"Sí","Anónimo"
"Obando Cardona, Jorge","Ilustrador","M","Colombia","1891","","La Revista","Plaza de Santa Bárbara","1925-05-07","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LO QUE SUCEDE EN ULTRATUMBA","1925-05-07","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.5,"No",NA
"Márquez Liévano, Ernestina","Creador",NA,NA,NA,NA,"La Revista","CUENTOS DE LA SIERRA","1925-05-07","Prosa Ficción",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.4,"No",NA
"Herrera y Reissig, Julio","Creador","M","Uruguay","1875","1910","La Revista","CERRAZONES","1925-05-07","Poesía",0.2,"No",NA
"Vélez Carmona, Juan Clímaco","Creador","M","Colombia","1898","1944","La Revista","ERAS TU…...","1925-05-07","Poesía",0.3,"No",NA
"González Martínez, Enrique","Creador","M","México​","1871","1952","La Revista","VIAJE AEREO","1925-05-07","Poesía",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","APOLO","1925-05-07","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","DOCE CONSEJOS A LAS CASADAS","1925-05-07","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LA MUJER AMERICANA VUELVE A SU CASA","1925-05-07","Prosa No Ficción",0.3,"No",NA
"Godoy Alcayaga, Lucila","Creador",NA,NA,NA,NA,"La Revista","PIECECITOS","1925-05-07","Poesía",0.1,"No",NA
"Nieto, Ricardo","Creador","M","Colombia","1878","1952","La Revista","CANTO A LA NIEBLA","1925-05-07","Poesía",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","La danza de las horas","1925-05-07","Prosa No Ficción",0.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.2,"No",NA
"Martínez Sierra, Gregorio","Creador","M","España","1881","1947","La Revista","EL PUDOR","1925-05-07","Prosa No Ficción",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Doctor Guillermo García Mejía","1925-05-07","Imagen",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Doctor José María Conde Ribón","1925-05-07","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.4,"No",NA
"Villafañe, Carlos","Creador","M","Colombia","1881","1959","La Revista","PILDORAS POLITICAS","1925-05-07","Prosa No Ficción",0.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-07","Publicidad",1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Imagen",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Ochoa Gutiérrez, L.E.","Creador",NA,NA,NA,NA,"La Revista","VOCES DE JUVENTUD. ORIENTACIONES","1925-05-14","Prosa No Ficción",0.8,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","MONSEÑOR CAYZEDO","1925-05-14","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","DONDE QUIEREN MAS A LAS MUJERES","1925-05-14","Prosa No Ficción",0.6,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Los ingleses las abandonan por los deportes","1925-05-14","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","LOS ANIMALES OBEDECEN EL DECALOGO","1925-05-14","Prosa No Ficción",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","ROMANCE DE HIPOCRESIA","1925-05-14","Prosa Ficción",0.9,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.3,"No",NA
"Hernández y Lesmes, Guillermo","Creador","M","Colombia","1906","1988","La Revista","LAGUNAS SAGRADAS DE LOS CHIBCHAS","1925-05-14","Prosa No Ficción",0.7,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Blanca Sánchez Fernández de 8 meses","1925-05-14","Imagen",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","TODO EL MUNDO ESTARA DE BUEN HUMOR","1925-05-14","Publicidad",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","VARIOS MILLONARIOS AMERICANOS FORMAN UN PLAN PARA CONSTRUIR UN TIPO DE FORD AEREO","1925-05-14","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","FAVORECIDO POR LA SUERTE","1925-05-14","Prosa No Ficción",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.2,"No",NA
"Carrere Moreno, Emilio","Creador","M","España","1881","1947","La Revista","LA COPLA DE ESPAÑA","1925-05-14","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.3,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Aspecto de la fiesta del 1° de Mayo en el Parque de Bolívar","1925-05-14","Imagen",0.2,"No",NA
"González Martínez, Enrique","Creador","M","México​","1871","1952","La Revista","LAS CAMPANAS DEL DIABLO","1925-05-14","Poesía",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","La danza de las horas","1925-05-14","Prosa No Ficción",0.4,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","EL PADRE ENRIQUE","1925-05-14","Imagen",0.1,"No",NA
"Contreras Daza, Antonio","Creador",NA,NA,NA,NA,"La Revista","LUIS REYES ROJAS","1925-05-14","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.2,"No",NA
"Silva, José Asunción","Creador","M","Colombia","1865","1896","La Revista","LA VOZ DE LAS COSAS","1925-05-14","Poesía",0.1,"No",NA
"Cano, Antonio José","Creador","M","Colombia","1874","1942","La Revista","SENDERO DE LLANTO","1925-05-14","Poesía",0.3,"No",NA
"Cano, Antonio José","Creador","M","Colombia","1874","1942","La Revista","BRASAS DE AMOR","1925-05-14","Poesía",0.2,"No",NA
"Vélez Escobar, Santiago","Creador","M","Colombia","1900","1955","La Revista","CHARADA","1925-05-14","Poesía",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","APOLO","1925-05-14","Imagen",0.2,"No",NA
"Tarleau, Lisa Ysaye","Creador","F","Estados Unidos","1878","1952","La Revista","Loutré","1925-05-14","Prosa Ficción",1.6,"Sí","Anónimo"
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.4,"No",NA
"Montalvo, Juan","Creador","M","Ecuador","1832","1889","La Revista","LA BUENA ESPOSA","1925-05-14","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","PROPIEDAD PARA VESTIR","1925-05-14","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Reyes Rojas, Luis","Creador","M","Colombia","","","La Revista","ORACION","1925-05-14","Prosa Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",0.4,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-14","Publicidad",1,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista",NA,"1925-05-22","Imagen",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-22","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-22","Publicidad",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista",NA,"1925-05-22","Publicidad",1,"No",NA
"Mora Vásquez, José Manuel","Creador","M","Colombia","1896","1961","La Revista","JORGE MARTINEZ Z.","1925-05-22","Prosa No Ficción",0.3,"No",NA
"Ceballos Uribe, Bernardo","Creador",NA,NA,NA,NA,"La Revista","JORGE MARTINEZ Z.","1925-05-22","Prosa No Ficción",0.2,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Jorge Martínez Z.","1925-05-22","Imagen",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"La Revista","Un premio de $ 500 a los automovilistas.","1925-05-22","Prosa No Ficción",0.5,"No",NA
"Anónimo","Ilustrador",NA,NA,NA,NA,"La Revista","Alto de Salazar","1925-05-22","Imagen",0.1,"No",NA
